id,abstract,authorships.author.display_name,authorships.institutions.display_name,cited_by_count,title,doi,fwci,is_retracted,language,is_oa,oa_status,primary_location.source.display_name,primary_location.source.type,publication_date,type
https://openalex.org/W2250378130,"Semantically complex queries which include attributes of objects and relations between objects still pose a major challenge to image retrieval systems.Recent work in computer vision has shown that a graph-based semantic representation called a scene graph is an effective representation for very detailed image descriptions and for complex queries for retrieval.In this paper, we show that scene graphs can be effectively created automatically from a natural language scene description.We present a rule-based and a classifierbased scene graph parser whose output can be used for image retrieval.We show that including relations and attributes in the query graph outperforms a model that only considers objects and that using the output of our parsers is almost as effective as using human-constructed scene graphs (Recall@10 of 27.1% vs. 33.4%).Additionally, we demonstrate the general usefulness of parsing to scene graphs by showing that the output can also be used to generate 3D scenes.",Sebastian Schuster|Ranjay Krishna|Anne Lynn S. Chang|Li Fei-Fei|Christopher D. Manning,Stanford University|Stanford University|Stanford University|Stanford University|Stanford University,352,Generating Semantically Precise Scene Graphs from Textual Descriptions for Improved Image Retrieval,https://doi.org/10.18653/v1/w15-2812,11.89798758,FALSE,en,TRUE,gold,,,2015-01-01,article
https://openalex.org/W2077069816,,Justin Johnson|Ranjay Krishna|Michael Stark|Li-Jia Li|David A. Shamma|Michael S. Bernstein|Li Fei-Fei,Stanford University|Stanford University|Max Planck Institute for Informatics|Yahoo (United States)|Snap (United States)|Yahoo (United States)|Stanford University|Stanford University,1093,Image retrieval using scene graphs,https://doi.org/10.1109/cvpr.2015.7298990,37.57259236,FALSE,en,FALSE,closed,,,2015-06-01,article
https://openalex.org/W2201056710,,Satoshi Ikehata|Hang Yang|Yasutaka Furukawa,Washington University in St. Louis|Washington University in St. Louis|Washington University in St. Louis,153,Structured Indoor Modeling,https://doi.org/10.1109/iccv.2015.156,10.01935796,FALSE,en,FALSE,closed,,,2015-12-01,article
https://openalex.org/W2576665611,,Zhiqiang Sui|Lingzhu Xiang|Odest Chadwicke Jenkins|Karthik Desingh,University of Michigan–Ann Arbor|University of Toronto|Institute for Christian Studies|University of Michigan–Ann Arbor|University of Michigan–Ann Arbor,35,Goal-directed robot manipulation through axiomatic scene estimation,https://doi.org/10.1177/0278364916683444,3.59686679,FALSE,en,FALSE,closed,The International Journal of Robotics Research,journal,2017-01-01,article
https://openalex.org/W2763231886,,Fei Fang|Miao Yi|Hui Feng|Shenghong Hu|Chunxia Xiao,Wuhan University|Wuhan University|Wuhan University|Wuhan University|Wuhan University,17,Narrative Collage of Image Collections by Scene Graph Recombination,https://doi.org/10.1109/tvcg.2017.2759265,0.63555111,FALSE,en,FALSE,closed,IEEE Transactions on Visualization and Computer Graphics,journal,2017-10-04,article
https://openalex.org/W2790781626,,Xinru Wei|Yonggang Qi|Jun Liu|Fang Liu,Beijing University of Posts and Telecommunications|Beijing University of Posts and Telecommunications|Beijing University of Posts and Telecommunications|Beijing University of Posts and Telecommunications,14,Image retrieval by dense caption reasoning,https://doi.org/10.1109/vcip.2017.8305157,0.50844089,FALSE,en,FALSE,closed,,,2017-12-01,article
https://openalex.org/W2958256323,"In modern industrial environments, human-robot collaboration is a trend in automation to improve performance and productivity. Instead of isolating robot from human to guarantee safety, collaborative robotics allows human and robot working in the same area at the same time. New hazards and risks, such as the collision between robot and human, arise in this situation. Safety analysis is necessary to protect both human and robot when using a collaborative robot.To perform safety analysis, robots need to perceive the surrounding environment in realtime. This surrounding environment is perceived and stored in the form of scene graph, which is a direct graph with semantic representation of the environment, the relationship between the detected objects and properties of these objects. In order to generate the scene graph, a simulated warehouse is used: robots and humans work in a common area for transferring products between shelves and conveyor belts. Each robot generates its own scene graph from the attached camera sensor. In the graph, each detected object is represented by a node and edges are used to denote the relationship among the identified objects. The graph node includes values like velocity, bounding box sizes, orientation, distance and directions between the object and the robot.We generate scene graph in a simulated warehouse scenario with the frequency of 7 Hz and present a study of Mask R-CNN based on the qualitative comparison. Mask R-CNN is a method for object instance segmentation to get the properties of the objects. It uses ResNetFPN for feature extraction and adds a branch to Faster R-CNN for predicting segmentation mask for each object. And its results outperform almost all existing, single-model entries on instance segmentation and bounding-box object detection. With the help of this method, the boundaries of the detected object are extracted from the camera images. We initialize Mask R-CNN model using three different types of weights: COCO pre-trained weight, ImageNet pre-trained weight and random weight, and the results of these three different weights are compared w.r.t. precision and recall.Results showed that Mask R-CNN is also suitable for simulated environments and can meet requirements in both detection precision and speed. Moreover, the model trained used the COCO pre-trained weight outperformed the model with ImageNet and randomly assigned initial weights. The calculated Mean Average Precision (mAP) value for validation dataset reaches 0.949 with COCO pre-trained weights and execution speed of 11.35 fps.",Shaolei Wang,,0,Scene Recognition for Safety Analysis in Collaborative Robotics,,0.0,FALSE,en,TRUE,green,KTH Publication Database DiVA (KTH Royal Institute of Technology),repository,2018-01-01,article
https://openalex.org/W2893908566,"We present a new methodology to teach spatial augmented reality in a practical assignment to large audiences. Our approach does not require specific equipment such as video projectors while teaching the principal topics and difficulties involved in spatial augmented reality applications, and especially calibration and tracking. The key idea is to set up a scene graph consisting of a 3D scene with a simulated projector that ""projects"" content onto a virtual representation of the real-world object. For illustrating the calibration, we simplify the intrinsic parameters to using the field of view, both for the camera and the projector. For illustrating the tracking, instead of relying on specific hardware or software, we exploit the relative transformations in the scene graph. We implemented our teaching methodology in Unity3D and tested it within a three-hour assignment to 24 and 20 master-level students in two consecutive years. We show the positive feedback that we received and discuss our plans for further improvement.",Brett Ridel|Patrick Reuter|Nadine Couture,Laboratoire Bordelais de Recherche en Informatique|École Supérieure des Technologies Industrielles Avancées|École Supérieure des Technologies Industrielles Avancées,1,Teaching Spatial Augmented Reality: a Practical Assignment for Large Audiences,https://doi.org/10.2312/eged.20181004,,FALSE,en,TRUE,gold,,,2018-01-01,preprint
https://openalex.org/W2828129428,,Taliesin L. Smith|Jesse Greenberg|Sam Reid|Emily B. Moore,University of Colorado Boulder|University of Colorado Boulder|University of Colorado Boulder|University of Colorado Boulder,11,Parallel DOM Architecture for Accessible Interactive Simulations,https://doi.org/10.1145/3192714.3192817,2.7482865,FALSE,en,FALSE,closed,,,2018-04-23,article
https://openalex.org/W2804009377,,Rui Li|Xiaodong Zhang|Hanzhe Li|Liming Zhang|Zhufeng Lu|Jiangcheng Chen,Xi'an Jiaotong University|Xi'an Jiaotong University|Xi'an Jiaotong University|Xi'an Jiaotong University|Xi'an Jiaotong University|University of Hong Kong,19,An approach for brain-controlled prostheses based on Scene Graph Steady-State Visual Evoked Potentials,https://doi.org/10.1016/j.brainres.2018.05.018,1.88217262,FALSE,en,FALSE,closed,Brain Research,journal,2018-05-16,article
