no,arxiv_url,title,authors,abstract_kor
1036,http://arxiv.org/abs/2602.20055 ,To Move or Not to Move: Constraint-based Planning Enables Zero-Shot Generalization for Interactive Navigation,"Apoorva Vashisth, Manav Kulshrestha, Pranav Bakshi, Damon Conover, Guillaume Sartoretti, Aniket Bera","시각적 탐색은 일반적으로 로봇이 발견/계획해야 하는 시작과 목표 사이에 장애물이 없는 경로가 하나 이상 존재한다고 가정합니다. 그러나 가정 환경 및 창고와 같은 실제 시나리오에서는 혼란으로 인해 모든 경로가 차단될 수 있습니다. 이러한 경우를 목표로 우리는 조작 능력이 있는 모바일 로봇이 복잡한 물건을 이동하여 순차적인 물건 배치 작업을 완료하기 위한 자체 경로를 만들 수 있는 평생 대화형 내비게이션 문제를 소개합니다. 각 작업에는 주어진 물건(예: 알람 시계, 베개)을 대상 물건(예: 식탁, 책상, 침대)에 배치하는 작업이 포함됩니다. 환경 변화의 영향이 누적되고 장기적인 영향을 미치는 이러한 평생 환경을 해결하기 위해 우리는 적극적인 인식을 갖춘 LLM 중심의 제약 기반 계획 프레임워크를 제안합니다. 우리의 프레임워크를 통해 LLM은 발견된 물체와 장애물의 구조화된 장면 그래프를 추론하여 이동할 물체, 배치할 위치, 작업 관련 정보를 발견하기 위해 다음에 볼 위치를 결정할 수 있습니다. 이러한 추론과 능동적 인식의 결합을 통해 에이전트는 환경을 철저하게 매핑하는 대신 작업 완료에 기여할 것으로 예상되는 영역을 탐색할 수 있습니다. 그런 다음 표준 모션 플래너는 해당 탐색-선택-위치 또는 우회 시퀀스를 실행하여 안정적인 하위 수준 제어를 보장합니다. 물리학 기반 ProcTHOR-10k 시뮬레이터에서 평가된 우리의 접근 방식은 비학습 및 학습 기반 기준보다 성능이 뛰어납니다. 우리는 실제 하드웨어에 대한 우리의 접근 방식을 질적으로 보여줍니다."
1035,http://arxiv.org/abs/2602.19974 ,RL-RIG: A Generative Spatial Reasoner via Intrinsic Reflection,"Tianyu Wang, Zhiyuan Ma, Qian Wang, Xinyi Zhang, Xinwei Long, Bowen Zhou","최근 이미지 생성의 발전으로 고품질 이미지를 생성하는 데 있어 인상적인 결과를 얻었습니다. 그러나 기존 이미지 생성 모델은 일반적으로 공간 추론 딜레마로 인해 여전히 어려움을 겪고 있으며, 프롬프트에서 세분화된 공간 관계를 정확하게 캡처하고 구조적 무결성이 있는 장면을 올바르게 생성하는 기능이 부족합니다. 이러한 딜레마를 완화하기 위해 우리는 반사 기반 이미지 생성을 위한 강화 학습 프레임워크인 RL-RIG를 제안합니다. 우리의 아키텍처는 딜레마를 해결하기 위해 이미지 생성에서 사고 사슬 추론 능력을 촉발하는 생성-반사-편집 패러다임에 따라 Diffuser, Checker, Actor 및 Inverse Diffuser의 네 가지 기본 구성 요소로 구성됩니다. 모델에 생성 궤적에 대한 더 나은 직관력을 제공하기 위해 Reflection-GRPO를 추가로 개발하여 편집 프롬프트에 대해 VLM 액터를 훈련하고 주어진 프롬프트에서 더 나은 이미지 품질을 위해 이미지 편집기를 각각 훈련합니다. 시각적으로 훌륭하지만 구조적으로 불합리한 콘텐츠만 생성하는 기존 접근 방식과 달리, 우리의 평가 지표는 장면 그래프 IoU를 활용하고 VLM-as-a-Judge 전략을 사용하여 LAION-SG 데이터 세트에서 생성된 이미지의 공간적 일관성을 평가하는 등 공간 정확도를 우선시합니다. 실험 결과에 따르면 RL-RIG는 이미지 생성 시 제어 가능하고 정확한 공간 추론 측면에서 기존의 최첨단 오픈 소스 모델보다 최대 11% 더 뛰어난 것으로 나타났습니다."
1034,http://arxiv.org/abs/2602.17555 ,GraphThinker: Reinforcing Video Reasoning with Event Graph Thinking,"Zixu Cheng, Da Li, Jian Hu, Ziquan Liu, Wei Li, Shaogang Gong",비디오 추론을 위해서는 비디오 속 사건 간의 인과 관계를 이해해야 합니다. 그러나 이러한 관계는 암시적이어서 수동으로 주석을 달기에는 비용이 많이 드는 경우가 많습니다. 기존 다중 모드 대형 언어 모델(MLLM)은 비디오 추론을 위해 조밀한 캡션이나 비디오 요약을 통해 이벤트 관계를 추론하는 경우가 많지만 이러한 모델링에는 여전히 인과 관계 이해가 부족합니다. 비디오 이벤트 내외의 명시적인 인과 구조 모델링이 없으면 이러한 모델은 비디오 추론 중에 환각에 시달립니다. 본 연구에서는 구조적 이벤트 수준 장면 그래프를 구성하고 시각적 기반을 강화하여 비디오 추론에서 환각을 공동으로 줄이는 강화 미세 조정 기반 방법인 GraphThinker를 제안합니다. 특히 우리는 먼저 MLLM을 사용하여 이벤트 내 관계와 이벤트 간 관계를 모두 명시적으로 모델링하는 이벤트 기반 비디오 장면 그래프(EVSG)를 구성하고 이렇게 형성된 장면 그래프를 중간 사고 과정으로 MLLM에 통합합니다. 또한 강화 미세 조정 중에 시각적 주의 보상을 도입하여 비디오 접지를 강화하고 환각을 더욱 완화합니다. 우리는 RexTime과 VidHalluc의 두 가지 데이터 세트에서 GraphThinker를 평가합니다. 여기서는 보다 정확한 이벤트 위치 파악을 통해 객체와 이벤트 관계를 캡처하는 탁월한 능력을 보여 이전 방법에 비해 비디오 추론에서 환각을 줄입니다.
1033,http://arxiv.org/abs/2602.16356 ,Articulated 3D Scene Graphs for Open-World Mobile Manipulation,"Martin Büchner, Adrian Röfer, Tim Engelbracht, Tim Welschehold, Zuria Bauer, Hermann Blum, Marc Pollefeys, Abhinav Valada","시맨틱스는 3D 장면 이해와 여유 기반 개체 상호 작용을 가능하게 했습니다. 그러나 실제 환경에서 작동하는 로봇은 물체가 어떻게 움직이는지 예측할 수 없다는 치명적인 한계에 직면합니다. 장거리 모바일 조작을 위해서는 의미론, 기하학, 운동학 사이의 격차를 줄여야 합니다. 이 작업에서 우리는 상호 작용할 수 있는 수많은 개체를 포함하는 연결된 장면의 의미 운동학적 3D 장면 그래프를 구축하기 위한 새로운 프레임워크인 MoMa-SG를 제시합니다. 여러 개체 관절이 포함된 RGB-D 시퀀스가 ​​주어지면 우리는 개체 상호 작용을 시간적으로 분할하고 폐색에 강한 점 추적을 사용하여 개체 동작을 추론합니다. 그런 다음 점 궤적을 3D로 리프트하고 단일 최적화 패스에서 회전 및 프리즘 관절 매개변수를 강력하게 추정하는 새로운 통합 비틀림 추정 공식을 사용하여 관절 모델을 추정합니다. 다음으로, 추정된 관절과 객체를 연결하고 식별된 개방 상태에서 부모-자식 관계를 추론하여 포함된 객체를 감지합니다. 또한 600개의 개체 상호 작용과 3개의 서로 다른 관찰 패러다임을 포함하는 62개의 실제 RGB-D 시퀀스에 걸쳐 부모-자식 관계 레이블을 포함한 계층적 개체 의미론을 개체 축 주석과 고유하게 결합하는 새로운 Arti4D-Semantic 데이터 세트를 소개합니다. 우리는 두 가지 데이터 세트에서 MoMa-SG의 성능을 광범위하게 평가하고 우리 접근 방식의 주요 설계 선택을 제거합니다. 또한 네 발 달린 동물과 이동식 조작기에 대한 실제 실험에서는 의미론적 운동학적 장면 그래프가 일상적인 가정 환경에서 연결된 개체를 강력하게 조작할 수 있음을 보여줍니다. 우리는 https://momasg.cs.uni-freiburg.de에서 코드와 데이터를 제공합니다."
1032,http://arxiv.org/abs/2602.13086 ,UniManip: General-Purpose Zero-Shot Robotic Manipulation with Agentic Operational Graph,"Haichao Liu, Yuanjiang Xue, Yuheng Zhou, Haoyuan Deng, Yinan Liang, Lihua Xie, Ziwei Wang","범용 로봇 조작을 달성하려면 로봇이 구조화되지 않은 환경에서 높은 수준의 의미론적 의도와 낮은 수준의 물리적 상호 작용을 원활하게 연결해야 합니다. 그러나 기존 접근 방식은 제로샷 일반화에서 불안정합니다. 엔드투엔드 VLA(Vision-Language-Action) 모델은 장거리 작업에 필요한 정밀도가 부족한 경우가 많은 반면, 기존 계층적 계획자는 개방형 변형에 직면할 때 의미론적 경직성으로 인해 어려움을 겪습니다. 이 문제를 해결하기 위해 우리는 의미론적 추론과 물리적 기반을 통합하는 Bi-level Agentic Operational Graph(AOG) 기반 프레임워크인 UniManip을 제시합니다. 작업 조정을 위한 높은 수준의 Agentic Layer와 동적 상태 표현을 위한 낮은 수준의 Scene Layer를 결합함으로써 시스템은 추상적 계획을 기하학적 제약 조건에 맞춰 지속적으로 조정하여 강력한 제로샷 실행을 가능하게 합니다. 정적 파이프라인과 달리 UniManip은 동적 에이전트 루프로 작동합니다. 즉, 구조화되지 않은 인식에서 객체 중심 장면 그래프를 적극적으로 인스턴스화하고, 안전 인식 로컬 플래너를 통해 이러한 표현을 충돌 없는 궤적으로 매개변수화하고, 구조화된 메모리를 활용하여 실행 실패를 자동으로 진단하고 복구합니다. 광범위한 실험을 통해 보이지 않는 물체와 작업에 대한 시스템의 강력한 제로샷 기능을 검증하여 최첨단 VLA 및 계층적 기준에 비해 각각 22.5% 및 25.0% 더 높은 성공률을 보여줍니다. 특히, 이 시스템은 미세 조정이나 재구성 없이 고정 베이스 설정에서 모바일 조작으로 직접 제로샷 전송을 가능하게 합니다. 우리의 오픈 소스 프로젝트 페이지는 https://henryhcliu.github.io/unimanip에서 찾을 수 있습니다."
1031,http://arxiv.org/abs/2602.12971 ,INHerit-SG: Incremental Hierarchical Semantic Scene Graphs with RAG-Style Retrieval,"YukTungSamuel Fang, Zhikang Shi, Jiabin Qiu, Zixuan Chen, Jieqi Shi, Hao Xu, Jing Huo, Yang Gao","기초 모델의 발전에 힘입어 의미론적 장면 그래프는 로봇 탐색에서 높은 수준의 3D 환경 추상화를 위한 주요 패러다임으로 부상했습니다. 그러나 기존 접근 방식은 구현된 작업의 요구 사항과 근본적으로 일치하지 않습니다. 오프라인 일괄 처리 또는 암시적 기능 임베딩에 의존하기 때문에 맵은 복잡한 환경에서 해석 가능한 인간 의도 추론을 거의 지원할 수 없습니다. 이러한 제한 사항을 해결하기 위해 INHerit-SG를 제시합니다. 우리는 인간의 의도에 더 잘 부합하기 위해 자연어 설명이 명시적인 의미론적 앵커로 도입되는 구조화된 RAG 지원 지식 기반으로 맵을 재정의합니다. 비동기식 이중 프로세스 아키텍처는 Floor-Room-Area-Object 계층 구조와 함께 시간이 많이 걸리는 의미 추론에서 기하학적 분할을 분리합니다. 이벤트로 트리거되는 지도 업데이트 메커니즘은 의미 있는 의미 이벤트가 발생할 때만 그래프를 재구성합니다. 이 전략을 사용하면 그래프가 상대적으로 낮은 계산 오버헤드로 장기적인 일관성을 유지할 수 있습니다. 검색을 위해 다중 역할 LLM(대형 언어 모델)을 배포하여 쿼리를 원자 제약 조건으로 분해하고 논리적 부정을 처리하며, 견고한 추론을 보장하기 위해 소프트 필터링 전략을 사용합니다. 이러한 명시적인 해석 가능성은 복잡한 검색의 성공률과 신뢰성을 향상시켜 시스템이 더 넓은 범위의 인간 상호 작용 작업에 적응할 수 있도록 해줍니다. 새로 구성된 데이터 세트인 HM3DSem-SQR과 실제 환경에서 INHerit-SG를 평가합니다. 실험은 우리 시스템이 복잡한 쿼리에 대해 최첨단 성능을 달성하고 다운스트림 탐색 작업에 대한 확장성을 보여줍니다. 프로젝트 페이지: https://fangyuktung.github.io/INHeritSG.github.io/"
1030,http://arxiv.org/abs/2602.12244 ,Any House Any Task: Scalable Long-Horizon Planning for Abstract Human Tasks,"Zhihong Liu, Yang Li, Rengming Huang, Cewu Lu, Panpan Cai","개방형 언어 조건 작업 계획은 대규모 가정 환경에서 작동하는 로봇에 매우 중요합니다. 최근의 많은 연구에서는 프롬프트 또는 교육을 통해 LLM(대형 언어 모델)을 사용하여 이 문제를 해결하려고 시도하지만 주요 과제는 확장성입니다. 환경 크기, 계획 길이, 명령의 모호성 및 제약 조건의 복잡성이 증가함에 따라 성능이 급속히 저하되는 경우가 많습니다. 본 연구에서는 인간의 지시가 모호한 대규모 환경에서 장기적인 계획을 세우는데 최적화된 가사 작업 플래너인 AHAT(Any House Any Task)를 제안합니다. 핵심적으로 AHAT는 작업 지침과 텍스트 장면 그래프를 PDDL(계획 도메인 정의 언어)에 정의된 기본 하위 목표에 매핑하도록 훈련된 LLM을 활용합니다. 이러한 하위 목표는 이후 명시적인 상징적 추론을 통해 실행 가능하고 최적의 장기 계획을 생성하기 위해 해결됩니다. 복잡하고 모호한 의도를 분해하는 모델의 능력을 향상시키기 위해 중간 추론 추적의 외부 수정을 그룹 상대 정책 최적화(GRPO)에 통합하는 새로운 강화 학습 알고리즘인 TGPO를 도입합니다. 실험에 따르면 AHAT는 특히 간단한 지침이 필요하지만 복잡한 실행 계획이 필요한 인간형 가사 작업에서 최첨단 프롬프트, 계획 및 학습 방법에 비해 상당한 성능 향상을 달성하는 것으로 나타났습니다."
1029,http://arxiv.org/abs/2602.09165 ,All-in-One Conditioning for Text-to-Image Synthesis,"Hirunima Jayasekara, Chuong Huynh, Yixuan Ren, Christabel Acquaye, Abhinav Shrivastava","여러 개체, 속성 및 공간 관계가 포함된 복잡한 프롬프트를 정확하게 해석하고 시각적으로 표현하는 것은 텍스트-이미지 합성에서 중요한 과제입니다. 사실적인 출력 생성의 최근 발전에도 불구하고 현재 모델은 복잡한 텍스트 입력을 처리할 때 의미 충실도와 구조적 일관성을 유지하는 데 어려움을 겪는 경우가 많습니다. 우리는 기존 모델의 구성 능력을 향상시키는 것을 목표로 장면 그래프 구조의 프레임워크 내에서 텍스트-이미지 합성을 기반으로 하는 새로운 접근 방식을 제안합니다. 이전 접근 방식에서는 프롬프트에서 파생된 미리 정의된 레이아웃 맵을 사용하여 이 문제를 해결하려고 시도했지만 이러한 엄격한 제약으로 인해 구성의 유연성과 다양성이 제한되는 경우가 많습니다. 이와 대조적으로 추론 중에 부드러운 시각적 안내를 생성하는 제로샷 장면 그래프 기반 조건 조정 메커니즘을 도입합니다. 우리 방법의 핵심에는 경량 언어 모델을 통해 시각적 조건을 생성하고 추론 시간 최적화를 통해 확산 기반 생성을 안내하는 ASQL(속성-크기-수량-위치) 컨디셔너가 있습니다. 이를 통해 모델은 가볍고 일관되며 다양한 이미지 합성을 지원하면서 텍스트-이미지 정렬을 유지할 수 있습니다."
1028,http://arxiv.org/abs/2602.07541 ,Differentiate-and-Inject: Enhancing VLAs via Functional Differentiation Induced by In-Parameter Structural Reasoning,"Jingyi Hou, Leyu Zhou, Chenchen Jing, Jinghan Yang, Xinbo Yu, Wei He","로봇은 점점 더 다양한 작업을 수행할 것으로 예상되므로 낮은 수준의 작업뿐만 아니라 작업 전개 방식을 결정하는 높은 수준의 구조도 이해해야 합니다. 기존 VLA(비전-언어-행동) 모델은 이러한 형태의 작업 수준 추론에 어려움을 겪습니다. 이는 불안정하고 언어적 변화에 민감한 프롬프트 기반의 컨텍스트 내 분해 또는 대규모 시연이 필요하고 작업 수준 추론을 낮은 수준 제어와 얽히게 하는 엔드투엔드 장거리 훈련에 의존합니다. 우리는 매개변수 내 구조적 추론에 의해 유도된 기능적 차별화를 통해 VLA 모델을 향상시키기 위한 프레임워크인 매개변수 내 구조적 작업 추론(iSTAR)을 제시합니다. VLA를 모놀리식 정책으로 처리하는 대신 iSTAR는 작업 수준 의미 구조를 모델 매개변수에 직접 내장하여 외부 계획자나 직접 만든 프롬프트 입력 없이 차별화된 작업 수준 추론을 가능하게 합니다. 이 주입된 구조는 매개변수 공간에서 개체 관계, 하위 작업 의미 및 작업 수준 종속성을 캡처하는 암시적 동적 장면 그래프 지식의 형태를 취합니다. 다양한 조작 벤치마크에서 iSTAR는 상황 내 및 종단 간 VLA 기준보다 더 안정적인 작업 분해와 더 높은 성공률을 달성하여 기능 차별화를 위한 매개변수 공간 구조적 추론의 효율성을 입증하고 작업 변형 전반에 걸쳐 일반화를 개선했습니다."
1027,http://arxiv.org/abs/2602.06090 ,SVRepair: Structured Visual Reasoning for Automated Program Repair,"Xiaoxuan Tang, Jincheng Wang, Liwei Luo, Jingxuan Xu, Sheng Zhou, Dajun Chen, Wei Jiang, Yong Li","LLM(대형 언어 모델)은 최근 APR(자동 프로그램 복구)에 대한 강력한 잠재력을 보여 주었지만 대부분의 기존 접근 방식은 단봉으로 남아 있으며 스크린샷 및 제어 흐름 그래프와 같은 시각적 아티팩트에 포함된 풍부한 진단 신호를 활용하지 못합니다. 실제로 많은 버그 보고서는 중요한 정보(예: 레이아웃 손상 또는 누락된 위젯)를 시각적으로 전달하지만 이러한 조밀한 시각적 입력을 직접 사용하면 컨텍스트 손실 및 노이즈가 발생하여 MLLM이 시각적 관찰을 통해 정확한 결함 위치 파악 및 실행 가능한 패치를 기반으로 하기가 어렵습니다. 이러한 의미적 격차를 해소하기 위해 우리는 구조화된 시각적 표현을 갖춘 다중 모드 APR 프레임워크인 \textbf{SVRepair}를 제안합니다. SVRepair는 먼저 비전 언어 모델인 \textbf{Structured Visual Representation(SVR)}을 미세 조정하여 이기종 시각적 아티팩트를 GUI 요소와 그 구조적 관계(예: 계층 구조)를 캡처하는 \emph{semantic scene graph}로 균일하게 변환하고 다운스트림 복구를 위한 정규화된 코드 관련 컨텍스트를 제공합니다. 그래프를 기반으로 SVRepair는 코딩 에이전트를 구동하여 결함 위치를 파악하고 패치를 합성하며, 추가로 버그 중심 영역으로 입력을 점진적으로 좁혀 관련 없는 컨텍스트를 억제하고 환각을 줄이는 반복적인 시각적 아티팩트 분할 전략을 도입합니다. 여러 벤치마크에 대한 광범위한 실험에서 최첨단 성능이 입증되었습니다. SVRepair는 SWE-Bench M에서 \textbf{36.47\%} 정확도, MMCode에서 \textbf{38.02\%}, CodeVision에서 \textbf{95.12\%}를 달성하여 다중 모드 프로그램 복구에 대한 SVRepair의 효율성을 검증했습니다."
